halo_id,redshift,cont_1500_size_dir_0,shift_x_dir_0,shift_y_dir_0,MAB_1500_dir_0,cont_1500_size_dir_1,shift_x_dir_1,shift_y_dir_1,MAB_1500_dir_1,cont_1500_size_dir_2,shift_x_dir_2,shift_y_dir_2,MAB_1500_dir_2,cont_1500_size_dir_3,shift_x_dir_3,shift_y_dir_3,MAB_1500_dir_3,cont_1500_size_dir_4,shift_x_dir_4,shift_y_dir_4,MAB_1500_dir_4,cont_1500_size_dir_5,shift_x_dir_5,shift_y_dir_5,MAB_1500_dir_5,cont_1500_size_dir_6,shift_x_dir_6,shift_y_dir_6,MAB_1500_dir_6,cont_1500_size_dir_7,shift_x_dir_7,shift_y_dir_7,MAB_1500_dir_7,cont_1500_size_dir_8,shift_x_dir_8,shift_y_dir_8,MAB_1500_dir_8,cont_1500_size_dir_9,shift_x_dir_9,shift_y_dir_9,MAB_1500_dir_9
193526,10,18.199677156363634,-1,-1,-15.810430639294623,36.39935431272727,15,15,-15.343565296949372,18.199677156363634,-1,-2,-16.0819060833088,22.749596445454547,-5,3,-14.830653402191068,72.79870862545454,-1,-1,-15.774625559871168,22.749596445454547,-1,-2,-15.814532648289173,18.199677156363634,-1,1,-16.12307273911381,18.199677156363634,-1,-12,-14.947642720341214,77.34862791454545,0,-2,-15.625281418412577,18.199677156363634,0,-1,-15.965144099123854
31855,10,112.17766187345455,0,-5,-18.32899399426143,98.15545413927272,-1,-5,-18.19604691145774,140.2220773418182,0,-3,-18.333005697448634,98.15545413927272,3,-2,-18.213439798877417,126.19986960763637,3,-3,-18.171682416837434,126.19986960763637,-4,0,-18.15821889083564,154.244285076,-1,1,-18.191771513571275,56.08883093672728,3,1,-18.283262387420653,140.2220773418182,1,4,-18.027351121330753,140.2220773418182,0,4,-17.982107278949165
160014,10,53.26132544181818,-3,-8,-14.579969225620566,130.19435108,-29,-10,-14.244621394079246,136.1122761290909,-23,-20,-14.818700456954012,53.26132544181818,-3,-6,-15.047328661294031,71.0151005890909,0,-5,-14.464533113744352,59.17925049090909,-6,7,-14.944741725674703,142.0302011781818,-26,16,-14.899234081564167,94.68680078545454,6,-2,-14.175290080591509,53.26132544181818,-3,5,-14.307231703243282,71.0151005890909,-5,4,-14.206415520761567
94217,10,6.375414827272727,-1,-19,-16.936919468307806,6.375414827272727,-6,-15,-16.875849113911595,63.754148272727264,-4,-13,-15.785194970300658,6.375414827272727,9,-5,-16.780968383990825,6.375414827272727,13,-13,-16.813539671818006,19.126244481818183,-16,0,-16.19429060136862,6.375414827272727,-5,9,-16.728416770275313,57.37873344545454,5,7,-16.213308907808184,25.501659309090908,0,18,-16.31032036136402,63.754148272727264,-3,7,-15.890756368068459
1955,10,28.096588158545455,9,7,-15.783395416775782,70.24147039636364,2,7,-15.822940482134896,35.12073519818182,11,-15,-16.215870529649976,28.096588158545455,9,20,-16.389496037838747,63.21732335672728,-8,-18,-15.997562979635369,28.096588158545455,6,-20,-16.256962526063333,35.12073519818182,12,16,-16.053810995015603,7.024147039636364,12,-18,-16.567210723662654,7.024147039636364,-3,0,-17.421599831896955,7.024147039636364,10,-5,-17.452355362387195
63106,10,108.59072208399998,1,-3,-15.43522128754811,236.92521181963633,1,-3,-16.36763370508556,98.7188382581818,0,0,-15.247535285359412,9.87188382581818,0,-2,-16.855860599509263,49.3594191290909,2,0,-16.88531116558284,98.7188382581818,-1,1,-16.654315932357658,69.10318678072727,91,28,-16.17751747102524,19.74376765163636,1,3,-15.86387468695888,9.87188382581818,0,0,-17.925081309467142,108.59072208399998,1,1,-15.465156709956098
158493,10,103.175370024,-7,0,-17.166053274148673,159.45284458254545,-1,-6,-17.043746947626268,65.65705365163636,-7,5,-17.677268249162967,121.93452821018182,-6,-6,-17.110227153867477,84.4162118378182,0,5,-17.813971205815,93.7957909309091,-2,6,-17.234014910526216,84.4162118378182,-7,-6,-17.3738820881263,84.4162118378182,-7,4,-17.90260266886061,103.175370024,-2,-3,-17.741531645466956,84.4162118378182,-7,-3,-17.643376374947877
37104,10,23.439933799636364,-1,3,-16.51616030097461,23.439933799636364,-1,4,-16.49022133749414,54.69317886581818,-1,0,-16.08501340641076,46.87986759927273,2,7,-15.962415784732713,62.50649013236364,-5,-5,-16.082385000804358,54.69317886581818,-5,-10,-15.768982418246331,39.066556332727274,-2,9,-15.696649172704348,39.066556332727274,-1,-7,-15.769390314203903,78.13311266545455,-7,5,-15.669005822996255,85.946423932,-1,8,-15.08614362389401
130809,10,140.39944349454544,-5,9,-15.829641094628577,102.95959189599998,2,4,-16.073584786590857,65.51974029745455,-1,10,-16.521059384019424,102.95959189599998,-6,-1,-16.177420802140347,84.23966609672726,-4,10,-17.221700385165093,46.79981449818181,4,1,-17.103951586346867,102.95959189599998,-2,-12,-16.0748341781957,28.07988869890909,-7,-1,-17.27998980780228,84.23966609672726,-2,-5,-16.78844078734985,28.07988869890909,-3,-9,-17.015401833407413
36968,10,176.64392309454547,-1,-2,-17.642971598160536,129.538876936,2,-16,-17.44948594032452,105.98635385672728,-1,6,-17.719893158840545,270.8540154116364,-2,-2,-17.176093722118523,259.077753872,0,0,-17.321626477060228,235.52523079272726,8,-1,-17.439861217029037,105.98635385672728,1,-6,-17.107668691251977,223.7489692530909,-6,-6,-17.595383377631023,200.19644617381817,-3,-12,-17.754138168854308,153.0914000152727,7,16,-17.75209329508664
