halo_id,redshift,cont_1500_size_dir_0,shift_x_dir_0,shift_y_dir_0,MAB_1500_dir_0,cont_1500_size_dir_1,shift_x_dir_1,shift_y_dir_1,MAB_1500_dir_1,cont_1500_size_dir_2,shift_x_dir_2,shift_y_dir_2,MAB_1500_dir_2,cont_1500_size_dir_3,shift_x_dir_3,shift_y_dir_3,MAB_1500_dir_3,cont_1500_size_dir_4,shift_x_dir_4,shift_y_dir_4,MAB_1500_dir_4,cont_1500_size_dir_5,shift_x_dir_5,shift_y_dir_5,MAB_1500_dir_5,cont_1500_size_dir_6,shift_x_dir_6,shift_y_dir_6,MAB_1500_dir_6,cont_1500_size_dir_7,shift_x_dir_7,shift_y_dir_7,MAB_1500_dir_7,cont_1500_size_dir_8,shift_x_dir_8,shift_y_dir_8,MAB_1500_dir_8,cont_1500_size_dir_9,shift_x_dir_9,shift_y_dir_9,MAB_1500_dir_9
411954,5,549.9738641040001,0,-6,-17.359873192154808,510.690016668,-3,-4,-17.28684305878149,510.690016668,-10,-4,-16.90363668261813,746.3931012840001,-16,22,-17.464789371171964,451.7642455140001,-26,-5,-17.200911542261068,471.406169232,5,-20,-17.26896449643781,451.7642455140001,-2,0,-17.267400770895712,648.183482694,-13,-24,-17.551519604710514,491.04809295,-22,-14,-16.99257389047345,549.9738641040001,-12,-18,-17.543934987637012
422124,5,636.7129584266667,-4,43,-15.4890071359427,541.2060146626667,5,40,-15.588632148728088,413.8634229773333,1,24,-15.410817100493944,604.8773105053334,-25,21,-15.612255380593083,620.795134466,-40,22,-15.598040686590359,620.795134466,37,-12,-15.309750053227603,366.1099510953333,-4,-4,-14.755482164390067,509.3703667413333,-16,-30,-15.705487081291778,748.1377261513333,-10,-46,-15.348899620593379,700.3842542693333,-2,-48,-15.412999651824165
218044,5,529.3625779493334,-1,-2,-19.145987516155593,491.55096523866666,-3,-1,-19.072519236664256,491.55096523866666,-1,-4,-19.009237863115413,529.3625779493334,1,2,-18.57714861728333,453.73935252800004,-1,-3,-18.774920024785548,453.73935252800004,-4,-2,-18.426104586146316,491.55096523866666,-2,0,-18.927253373231792,983.1019304773333,-2,0,-17.925834563783035,491.55096523866666,-1,1,-19.091488867724603,529.3625779493334,-1,1,-19.11427993465722
61427,5,476.319864396,-7,5,-16.894206903571224,449.85764970733334,-9,8,-16.92150114421075,344.0087909526667,-7,-2,-16.731764816072477,449.85764970733334,-5,3,-16.888679651618563,449.85764970733334,-1,-1,-16.524714644723957,396.93322033,-1,-8,-16.7354290016892,423.39543501866666,-4,4,-16.775002461153807,449.85764970733334,-6,-5,-16.851971001734228,449.85764970733334,-9,-4,-16.578968148506654,396.93322033,-6,-4,-16.914895563710925
368545,5,457.5585628133333,18,-31,-15.419437967699693,420.2068434,9,-27,-15.406084203692167,457.5585628133333,39,-26,-15.340679234984037,382.8551239866667,31,-14,-15.472045667430109,382.8551239866667,29,-16,-15.332566121405051,317.4896150133333,-16,6,-15.403197829197865,354.84133442666666,10,9,-15.645669331207458,308.15168516,5,-5,-15.409117348061088,504.24821208,-41,6,-15.641921813940122,448.22063295999993,18,30,-15.562764598953976
5493,5,1285.9734986046667,-14,52,-17.309031586714575,1046.7226151433333,7,37,-17.52394109957138,1016.8162547106667,-10,44,-17.572657076364344,1285.9734986046667,-41,13,-17.70191884048301,1435.505300768,-42,34,-17.880293479965886,1196.2544173066667,34,-7,-17.556236625669076,1166.348056874,5,1,-16.875252667279792,1106.5353360086667,-32,-18,-17.636724548492214,1555.1307424986667,-8,-58,-17.555765571178984,1166.348056874,-14,-53,-17.15456519975136
88965,5,780.5318587153334,-22,62,-16.388216691307903,1409.9930350986667,-13,64,-16.314338782489692,528.747388162,-17,18,-16.421963733617766,1284.100799822,-45,43,-16.340043601963366,1586.242164486,-66,18,-16.32322231936083,1334.4576939326666,36,-33,-16.273482555470295,654.6396234386667,-1,-5,-16.21539206641601,1460.3499292093334,-33,-54,-16.07567950189587,1460.3499292093334,-37,-56,-16.188563873185473,1158.2085645453333,-20,-63,-16.061007285925932
37845,5,309.3897365066666,-1,-4,-17.600721409432257,309.3897365066666,0,-1,-17.47117885010801,371.267683808,-2,-7,-17.579095166809843,309.3897365066666,3,-1,-17.007015018013668,371.267683808,3,-8,-17.252310214911923,433.14563110933335,-5,-3,-17.368470570537493,340.3287101573334,-4,5,-17.469814122552023,402.20665745866665,-7,-2,-17.06531224382745,371.267683808,-3,8,-17.347539163975778,402.20665745866665,-2,5,-17.361296707052844
431295,5,856.1043068800001,-34,17,-17.10112711422184,620.675622488,-12,0,-16.818922781627712,727.688660848,-35,39,-16.928363406433277,791.8964838640001,-44,-40,-17.194382314327257,941.7147375680001,-4,39,-17.128687387019085,706.286053176,-29,30,-16.995495825300605,770.4938761920001,-34,-49,-16.95452948543647,1005.922560584,-45,17,-17.09572448520919,642.0782301600001,-2,14,-16.805447133270324,856.1043068800001,-33,-12,-16.929997611593567
33478,5,326.606221494,8,-7,-15.514453430764753,342.158898708,-4,9,-15.530639737126108,326.606221494,6,-6,-15.276553445439703,342.158898708,9,-6,-15.375100236019762,342.158898708,-13,0,-15.430074527540967,295.500867066,-3,5,-15.539996677130247,233.29015821,5,-4,-15.398522761935936,357.711575922,10,8,-15.441092867339641,311.05354428,10,2,-15.749938914705204,311.05354428,5,4,-15.57225424919438
