halo_id,redshift,cont_1500_size_dir_0,shift_x_dir_0,shift_y_dir_0,MAB_1500_dir_0,cont_1500_size_dir_1,shift_x_dir_1,shift_y_dir_1,MAB_1500_dir_1,cont_1500_size_dir_2,shift_x_dir_2,shift_y_dir_2,MAB_1500_dir_2,cont_1500_size_dir_3,shift_x_dir_3,shift_y_dir_3,MAB_1500_dir_3,cont_1500_size_dir_4,shift_x_dir_4,shift_y_dir_4,MAB_1500_dir_4,cont_1500_size_dir_5,shift_x_dir_5,shift_y_dir_5,MAB_1500_dir_5,cont_1500_size_dir_6,shift_x_dir_6,shift_y_dir_6,MAB_1500_dir_6,cont_1500_size_dir_7,shift_x_dir_7,shift_y_dir_7,MAB_1500_dir_7,cont_1500_size_dir_8,shift_x_dir_8,shift_y_dir_8,MAB_1500_dir_8,cont_1500_size_dir_9,shift_x_dir_9,shift_y_dir_9,MAB_1500_dir_9
447675,4.64,20.713670879432627,-7,1,-16.063759117048868,10.356835439716313,-5,0,-16.526467532932642,51.78417719858157,-6,0,-16.129058172996167,20.713670879432627,-6,0,-16.369622739338958,20.713670879432627,-3,-1,-16.251016605314923,41.42734175886525,-3,-1,-15.495267687606791,20.713670879432627,-6,0,-16.270822659719343,10.356835439716313,-6,-2,-16.24745226737447,10.356835439716313,-6,0,-16.24749800265282,10.356835439716313,-6,0,-15.580805811671887
143781,4.64,248.62378730212768,0,-18,-17.366441998954944,155.3898670638298,-1,-3,-18.244115515234785,186.46784047659577,-1,-13,-17.224819469015074,186.46784047659577,1,-2,-18.022120382331252,217.54581388936174,2,-1,-18.180018145760172,279.7017607148936,-15,0,-17.488253772476963,217.54581388936174,-2,1,-17.648592304188888,31.07797341276596,0,2,-17.834621835727763,62.15594682553192,0,2,-18.456032042384784,186.46784047659577,-1,2,-18.059409157446048
409556,4.64,310.2833920319149,-5,-6,-14.927790641286279,295.5079924113475,-9,-5,-14.941337998365782,280.73259279078013,-3,-10,-15.029249942120025,192.0801950673759,1,3,-15.022605559353856,310.2833920319149,-1,-9,-14.809584828159203,369.3849905141844,1,0,-14.489326509778039,251.1817935496454,-6,7,-15.156638063444838,325.0587916524822,-1,-4,-14.59146836854594,295.5079924113475,-8,8,-15.124229732805247,325.0587916524822,-8,6,-15.032107840276602
25818,4.64,1215.3724855716312,47,10,-17.998009853338296,831.5706480226951,39,13,-17.82103203937156,1151.4055126468086,48,-3,-17.9880993337928,991.4880803347519,36,14,-17.593556269556117,319.8348646241135,-5,-3,-17.723841360587965,1087.4385397219858,30,-14,-17.410517295748345,1343.3064314212766,49,6,-17.681190088616717,1215.3724855716312,42,-15,-17.900923641926823,1023.4715667971632,29,-6,-17.531408745368445,1599.1743231205676,47,-11,-17.62864396821792
85743,4.64,242.40466448936172,10,14,-15.800343833044636,226.24435352340427,31,-9,-16.044902424325947,242.40466448936172,9,46,-15.97596266728717,193.92373159148937,-10,-35,-16.142585365299986,210.08404255744682,13,47,-16.083950708960103,307.0459083531915,26,42,-16.137759040679384,242.40466448936172,9,-49,-16.13722933721037,193.92373159148937,-8,27,-15.59471535931656,290.88559738723404,32,-28,-16.233500122426612,226.24435352340427,10,-16,-15.971285208128535
35248,4.64,338.3889239503546,0,1,-17.376852673354392,439.9056011354609,1,-3,-17.324199209100332,270.71113916028366,0,0,-17.697344786692426,507.58338592553184,9,-2,-16.952051425987726,406.06670874042555,-1,1,-17.59751596816809,338.3889239503546,0,0,-17.460238875834037,372.22781634539007,-1,0,-17.701244184428816,304.55003155531915,0,-1,-17.342380599248955,473.7444935304964,0,-1,-17.474386877777196,406.06670874042555,-1,0,-17.430412310067847
412906,4.64,114.50711741723404,3,-26,-15.572022610841763,149.20624390730495,-34,-32,-15.036752989781832,107.56729211921986,-7,-58,-15.70193830150086,229.01423483446808,-1,63,-14.731428589131312,197.78502099340426,-7,3,-14.766563201778467,124.91685536425531,-32,-20,-15.280529985295942,135.32659331127658,0,19,-15.261695332470687,156.14606920531915,6,-12,-14.834739615889688,100.62746682120567,1,49,-15.809233012762355,107.56729211921986,-9,51,-15.935392871676719
423468,4.64,478.38092444680854,21,-3,-18.45704505134604,255.13649303829786,18,0,-18.53603326653062,414.596801187234,21,-4,-17.967962192431294,446.48886281702124,18,2,-18.590711664072927,382.70473955744677,3,-4,-18.71528702563092,318.92061629787236,10,-3,-18.765903666906283,574.0571093361701,20,3,-18.09154449896994,414.596801187234,21,-2,-18.62824423840027,318.92061629787236,16,1,-18.753936607032117,350.8126779276596,21,0,-18.462955473920168
322435,4.64,320.5417813914894,-5,-5,-17.377920696650456,349.6819433361702,-11,3,-17.647793668576647,291.4016194468085,-4,-15,-17.371080394674763,233.1212955574468,3,12,-17.447945658056526,524.5229150042553,-6,-14,-17.454140989868705,524.5229150042553,-6,-15,-17.357440142618916,437.10242917021276,-6,16,-17.373130326989635,407.96226722553195,0,-12,-16.883993399735424,466.2425911148936,-10,6,-17.40927113774054,378.8221052808511,-5,4,-17.245692622125787
385919,4.64,300.54801294751775,18,0,-14.10180841289354,238.36566544113475,11,0,-14.445361567727083,145.0921441815603,9,1,-14.560484020673357,155.45586876595746,0,-10,-14.561816673654036,145.0921441815603,2,1,-14.717710037665974,269.4568391943263,31,95,-15.025629686135524,196.9107671035461,-7,-3,-14.592480420059701,145.0921441815603,8,1,-14.619108317296686,155.45586876595746,2,8,-14.61974164634158,196.9107671035461,11,-1,-14.612942442503602
49062,4.64,329.7262963744681,-10,3,-17.509801841911585,329.7262963744681,-16,0,-17.075266832156647,164.86314818723406,1,-4,-17.986040566101945,82.43157409361703,-11,1,-18.59182737753414,302.2491050099291,1,-3,-17.332273998200314,439.63506183262416,-3,-2,-16.942912508087385,274.7719136453901,-1,3,-18.08503334995757,329.7262963744681,3,-4,-17.451339444701492,82.43157409361703,-9,-4,-18.195499277031168,54.95438272907802,-10,-4,-18.044963695289333
349071,4.64,86.79853739007092,-3,0,-16.610394882838698,86.79853739007092,-1,-1,-16.286182114312147,130.19780608510638,-3,3,-16.50682462894453,43.39926869503546,-3,-3,-17.274923464055494,43.39926869503546,0,2,-17.45017839116647,43.39926869503546,-1,2,-17.58502690803276,21.69963434751773,-3,-3,-17.447008532349923,43.39926869503546,-3,2,-17.53132106073581,43.39926869503546,-1,-1,-17.746576979263757,21.69963434751773,-3,0,-17.629020629459422
385930,4.64,570.1372023510638,-8,14,-17.013976459911117,582.8069179588653,-9,14,-17.116651603198832,481.44919309645394,3,-6,-16.739665175586865,544.7977711354611,18,-21,-16.8576007213705,494.1189087042554,-21,-3,-17.065101222042593,519.4583399198582,-2,16,-17.11567793814698,468.7794774886525,2,5,-16.831582010183727,570.1372023510638,14,21,-17.172915065130393,608.1463491744681,23,8,-17.175308027514188,595.4766335666667,15,12,-17.19483467845111
