halo_id,redshift,cont_1500_size_dir_0,shift_x_dir_0,shift_y_dir_0,MAB_1500_dir_0,cont_1500_size_dir_1,shift_x_dir_1,shift_y_dir_1,MAB_1500_dir_1,cont_1500_size_dir_2,shift_x_dir_2,shift_y_dir_2,MAB_1500_dir_2,cont_1500_size_dir_3,shift_x_dir_3,shift_y_dir_3,MAB_1500_dir_3,cont_1500_size_dir_4,shift_x_dir_4,shift_y_dir_4,MAB_1500_dir_4,cont_1500_size_dir_5,shift_x_dir_5,shift_y_dir_5,MAB_1500_dir_5,cont_1500_size_dir_6,shift_x_dir_6,shift_y_dir_6,MAB_1500_dir_6,cont_1500_size_dir_7,shift_x_dir_7,shift_y_dir_7,MAB_1500_dir_7,cont_1500_size_dir_8,shift_x_dir_8,shift_y_dir_8,MAB_1500_dir_8,cont_1500_size_dir_9,shift_x_dir_9,shift_y_dir_9,MAB_1500_dir_9
42507,9,265.5509039768,0,-13,-17.928759707327547,296.7921867976,-1,6,-17.96480319162074,249.9302625664,-6,11,-17.86696378508106,171.8270555144,-2,-2,-18.90002674776592,78.103207052,-4,-1,-19.13801893443136,156.206414104,3,-7,-18.776366081703202,218.6889797456,-5,-14,-18.066460142754384,93.7238484624,0,-4,-19.174313934604392,93.7238484624,0,-1,-18.603358576148572,140.58577269359998,-4,-5,-18.426942289720834
31102,9,256.79028406919997,5,-4,-17.927221980676986,211.4743515864,2,-2,-17.85959035752594,332.31683820719996,2,-4,-17.81155784888599,513.5805681383999,-28,0,-17.513320751133904,105.7371757932,1,0,-18.29396476647056,15.105310827599999,0,2,-18.36422321907639,302.106216552,-1,0,-17.858835017723642,226.57966241399996,-1,2,-18.024912339626916,15.105310827599999,0,-1,-19.148937147668672,15.105310827599999,-1,0,-18.528949343367913
210428,9,6.9906050340000006,-4,5,-17.16458167079516,76.89665537399999,2,-5,-15.063634236563118,62.915445306,-5,4,-16.295816556035554,27.962420136000002,-6,-3,-16.58012133724109,55.924840272000004,2,13,-15.414529045192445,55.924840272000004,2,2,-16.33568453347423,55.924840272000004,-4,-15,-16.28621166416525,55.924840272000004,-11,7,-15.787930706203433,48.934235238,1,-8,-16.016990869079955,13.981210068000001,-3,-6,-16.605508793739993
87451,9,149.3981024272,-3,0,-17.95547223905581,190.1430394528,5,-11,-18.163256208368406,190.1430394528,3,4,-17.500663674172806,203.72468512799998,-7,-17,-18.060959097846123,244.46962215359997,10,14,-17.813911957073504,258.0512678288,-2,16,-17.71364975658617,258.0512678288,-3,-15,-17.829011261945166,230.8879764784,-7,16,-17.842698547319547,190.1430394528,4,-3,-17.702988714587367,230.8879764784,-8,1,-17.430814005826655
31101,9,199.5275914688,-2,1,-17.346765769801983,224.4685404024,1,-1,-17.141331693451765,137.1752191348,-13,0,-17.39630690875702,62.352372334,-4,-4,-17.933213732542256,12.4704744668,0,4,-18.13573511021695,24.9409489336,0,3,-18.123035579445688,162.11616806840001,-17,-4,-17.535449303748535,87.29332126759999,-3,2,-17.263812807312576,62.352372334,0,-2,-17.86112451150794,199.5275914688,-14,15,-17.018408095408113
45395,9,187.46230751320002,-5,2,-17.46374062765769,176.4351129536,-4,2,-17.399394674830788,474.16936606280007,0,-25,-17.07889597195792,242.5982803112,8,-12,-17.09891506776991,143.3535292748,-4,1,-17.574043925287786,165.407918394,-1,-1,-17.587207368840893,132.3263347152,-4,-2,-17.578223647953433,209.5166966324,-6,-2,-17.599553032761897,187.46230751320002,-5,-3,-17.522451620849804,110.27194559600001,-5,-3,-17.521660962818242
210676,9,10.543789714399999,-67,-43,-16.731795150745768,36.9032640004,-95,-7,-16.613195493146435,10.543789714399999,-66,-75,-15.762558617252822,5.2718948571999995,-18,40,-16.523905605583316,26.359474286,-13,-77,-16.8944077082376,5.2718948571999995,-82,-54,-16.362274647662453,5.2718948571999995,-68,73,-15.83785125772372,105.437897144,-9,-13,-15.5140086663135,10.543789714399999,-82,57,-16.185377395873374,15.815684571599999,-67,42,-16.778788600649893
23204,9,26.7889332024,-2,-3,-17.81979972216286,80.3667996072,0,-1,-17.466547376658383,120.55019941079999,0,-1,-16.753069907889465,133.944666012,1,-7,-17.187194200880036,40.1833998036,2,-1,-17.998784757080465,80.3667996072,-4,3,-17.872458125987386,107.1557328096,5,0,-17.1892966541254,107.1557328096,0,2,-17.60509441731671,26.7889332024,-1,2,-17.810970350908647,40.1833998036,-2,3,-17.661710166679832
251353,9,46.201750171200004,-1,5,-14.059814780862808,56.4688057648,1,2,-13.831959437104302,15.4005833904,-2,7,-15.065422523672325,77.00291695199999,-10,0,-14.218479297204773,82.1364447488,-6,4,-14.515724172041388,46.201750171200004,0,-1,-14.024553151671036,71.8693891552,2,-17,-13.753081669869417,71.8693891552,-6,-4,-14.391081261844647,35.9346945776,2,-8,-14.42842693163935,46.201750171200004,-5,-6,-13.892734654129171
210386,9,274.49561749,-25,7,-17.410672142064453,428.2131632844,-30,15,-17.34784726467784,516.0517608811999,31,22,-17.44466436730296,581.9307090788,-35,-37,-17.399912038049877,208.61666929240002,-8,22,-17.261556176513736,636.8298325768001,-26,36,-17.397204126593945,581.9307090788,-45,-29,-17.34177441940156,603.890358478,-42,34,-16.87272397486289,131.7578963952,-11,1,-17.764122983552717,527.0315855808,-41,11,-17.35628903970898
