halo_id,redshift,cont_1500_size_dir_0,shift_x_dir_0,shift_y_dir_0,MAB_1500_dir_0,cont_1500_size_dir_1,shift_x_dir_1,shift_y_dir_1,MAB_1500_dir_1,cont_1500_size_dir_2,shift_x_dir_2,shift_y_dir_2,MAB_1500_dir_2,cont_1500_size_dir_3,shift_x_dir_3,shift_y_dir_3,MAB_1500_dir_3,cont_1500_size_dir_4,shift_x_dir_4,shift_y_dir_4,MAB_1500_dir_4,cont_1500_size_dir_5,shift_x_dir_5,shift_y_dir_5,MAB_1500_dir_5,cont_1500_size_dir_6,shift_x_dir_6,shift_y_dir_6,MAB_1500_dir_6,cont_1500_size_dir_7,shift_x_dir_7,shift_y_dir_7,MAB_1500_dir_7,cont_1500_size_dir_8,shift_x_dir_8,shift_y_dir_8,MAB_1500_dir_8,cont_1500_size_dir_9,shift_x_dir_9,shift_y_dir_9,MAB_1500_dir_9
17159,7,172.648206353,34,-5,-16.056851612205136,271.304324269,17,9,-16.196825608444627,579.6046927565,20,32,-16.253693587677574,567.272678017,9,-35,-16.173956005947325,221.976265311,-5,-26,-16.216359839060736,616.600736975,19,37,-16.17043286064112,628.9327517145,18,-37,-16.162709853852142,431.62051588250006,39,-20,-16.387706275982296,443.952530622,39,-11,-16.2177157729857,184.9802210925,23,-1,-16.194372855129586
409725,7,261.52469218,7,9,-15.62726510450959,130.76234609,9,4,-16.104215730590703,156.914815308,7,6,-15.98400413062361,261.52469218,1,-2,-15.719309581791876,183.06728452599998,-2,6,-15.999782367948058,130.76234609,10,2,-16.24548165894612,104.60987687199999,8,-6,-16.34962177385603,143.83858069899998,3,-1,-15.75339736004429,209.21975374399997,6,-9,-15.837128297693837,209.21975374399997,7,-9,-15.764707953253549
409945,7,107.66823543000001,1,-2,-16.703796874213104,89.72352952500002,0,-2,-16.340034172561452,179.44705905000004,8,19,-16.491174918188158,80.75117657250001,2,1,-16.40576158917205,143.55764724000002,-4,19,-16.393111321050704,44.86176476250001,-1,-2,-16.9693997398416,143.55764724000002,9,5,-16.604022669432258,71.77882362000001,-1,1,-16.494607303719718,98.6958824775,-2,1,-16.99931053639768,125.61294133500002,2,0,-16.945297211087507
338549,7,87.3713765745,-6,-17,-16.305306822536267,77.663445844,-5,-21,-16.276125081828894,106.78723803550001,-15,-3,-15.399947855220184,38.831722922,1,-18,-16.578199063553797,38.831722922,17,1,-16.30922828229521,58.247584383,-13,14,-16.247201846355395,48.5396536525,-12,-5,-15.966187557782092,58.247584383,-3,18,-16.57131255571401,58.247584383,4,12,-16.44942534954997,87.3713765745,-6,15,-16.453450636230563
482,7,281.76961932,-2,6,-16.92065062209842,187.84641288,3,2,-16.663784697257633,93.92320644,-2,9,-17.165657387669,62.615470959999996,-9,-5,-16.778955579098174,140.88480966,-3,9,-16.779322232774838,62.615470959999996,5,5,-17.023691566120295,109.57707418,-1,-9,-16.695323606280912,93.92320644,-6,1,-16.379582077448816,46.96160322,1,-9,-16.849408610730272,234.8080161,-4,-8,-16.18111453033398
357773,7,18.192612333,2,1,-17.32487082596655,18.192612333,2,3,-16.583039114057122,18.192612333,1,-2,-17.50067574875346,63.674143165500006,-2,3,-15.946977311852372,27.288918499500003,-2,-2,-16.538550450844006,18.192612333,2,-4,-17.6022674943127,63.674143165500006,5,1,-16.035273981947135,18.192612333,0,-3,-17.49618505109947,18.192612333,0,-2,-16.589654308816172,9.0963061665,1,-3,-17.42325958977661
101552,7,80.0290703775,-1,-1,-19.932568339428805,240.0872111325,-10,2,-18.795296420056864,293.4399247175,2,5,-19.20699999911065,106.70542717,1,1,-18.95981039538619,133.38178396249998,0,-3,-19.281762189435486,320.11628151,4,3,-17.940918484203785,53.352713585,0,2,-19.700827671804756,160.058140755,1,1,-18.725843211551908,240.0872111325,4,-5,-19.089347056697193,160.058140755,2,-4,-18.94227020808845
293684,7,240.5624650425,0,-56,-14.163107309359447,169.2846976225,18,-85,-13.670005313293146,133.64581391250002,54,34,-15.42373511127024,213.83330226000004,10,-92,-13.612223476674728,178.19441855,85,34,-13.616169477478032,106.91665113000002,-33,86,-13.832258526247905,8.9097209275,19,-85,-15.62636864097287,204.9235813325,-1,93,-13.590855410433484,222.74302318750003,52,33,-14.109348141249747,240.5624650425,0,55,-14.170565203780043
327856,7,43.5425585595,-3,-2,-16.046446559456797,72.5709309325,-4,-3,-15.701732890394268,43.5425585595,-2,-2,-15.889542991548453,29.028372373000003,-1,-1,-16.677789550714767,116.11348949200001,-1,-1,-15.35485004265822,87.085117119,-4,0,-16.10121369212159,14.514186186500002,-2,0,-16.96415387326987,101.59930330550002,-1,1,-15.605616847665964,29.028372373000003,-1,1,-16.474377946740177,29.028372373000003,-2,1,-16.453873907416032
149181,7,158.4408478835,42,-9,-15.493167945945657,207.1918780015,30,-2,-15.499634763328281,97.50206023599999,44,-15,-15.52243131651769,158.4408478835,42,6,-15.567802484137218,219.379635531,9,-15,-15.422172713808756,170.62860541299997,14,-10,-15.37951463684265,121.87757529499999,41,13,-15.398642810994822,195.00412047199998,45,-4,-15.335155772596593,255.94290811949998,29,11,-15.362708363088572,219.379635531,43,8,-15.353694739846468
259546,7,601.796795392,55,5,-16.873046237656144,217.671181312,-9,-6,-17.220794334724623,896.29309952,57,-44,-16.939254152445542,153.650245632,-8,-5,-17.331243799548716,179.25861990400003,2,1,-17.20298516088726,217.671181312,1,9,-17.101500637524843,192.06280704000002,-13,-2,-17.45761791263218,909.097286656,62,-49,-16.841939304105885,128.04187136000002,-7,2,-17.122616609936323,256.08374272000003,-12,3,-17.14113111484686
352829,7,81.83428086149999,-26,76,-16.97008992960518,63.6488851145,13,41,-17.000885721075655,100.01967660849999,-22,84,-17.028220307240648,118.20507235549998,-82,-17,-16.589884919825273,45.463489367499996,-42,85,-17.0223256210301,63.6488851145,56,34,-16.838755491342642,81.83428086149999,-12,-74,-17.260146886443543,81.83428086149999,-58,-6,-17.20121019603459,72.74158298799999,-5,-86,-16.902522852665317,54.55618724099999,-25,-76,-16.909188430035066
356041,7,11.0831297935,-4,3,-16.958703634331677,55.415648967500005,-5,1,-16.154716540107074,22.166259587,-4,2,-16.91626122653237,11.0831297935,-5,0,-16.987641853943323,22.166259587,-3,2,-16.321464638622054,22.166259587,0,0,-16.770370372316265,22.166259587,-3,-2,-17.023333573249353,11.0831297935,-4,-2,-17.008448127681184,11.0831297935,-3,-4,-16.98770771348263,11.0831297935,-3,-4,-16.840139915720528
58279,7,116.78717797600001,-6,-4,-16.956564708484656,183.52270824800001,8,-15,-17.044884721404276,266.942121088,-3,22,-16.84490780328542,150.154943112,-9,-31,-17.360427801256968,116.78717797600001,16,21,-17.509696127301826,200.20659081600002,-4,33,-17.106931261750237,116.78717797600001,-7,-25,-17.47269341566266,150.154943112,-9,22,-17.570934343185147,66.735530272,13,-4,-17.423334019800485,83.41941284,-4,3,-17.44063346545886
185280,7,535.19669455,-34,2,-17.17290698146684,489.32269216000003,-33,5,-17.03488398025724,550.48802868,-33,-6,-17.30161227955939,412.86602151000005,-27,8,-16.99462908078268,275.24401434,-13,-6,-16.968297368664395,336.40935086,-18,-9,-16.979356418168724,305.8266826,-3,-8,-17.183447985189222,214.07867782000002,-14,-10,-17.02470598752577,504.61402629,-33,0,-17.210219433450252,504.61402629,-34,-3,-17.224587742639002
75473,7,196.52354065499998,7,15,-17.394356485115342,151.17195435,4,17,-17.418648846884732,196.52354065499998,6,-4,-16.700070831240517,120.93756348,2,13,-17.296415446588075,90.70317261,-19,-3,-16.947302225636307,256.992322395,-2,-9,-16.76569428897347,256.992322395,-4,8,-16.245775471231035,60.46878174,5,-16,-17.497967559802238,226.757931525,-4,-9,-16.894073632604307,226.757931525,8,-15,-16.949959449868658
221840,7,54.206615897000006,17,10,-16.43167905698823,77.43802271,13,4,-16.027770046440523,15.487604542000001,12,3,-16.038328413802397,30.975209084000003,1,9,-15.491107177753442,15.487604542000001,0,13,-16.44449852686445,54.206615897000006,21,7,-16.46025558573875,7.743802271000001,13,-2,-15.786737899381862,7.743802271000001,12,1,-16.321240864974015,69.69422043899999,8,-6,-15.92857262568198,61.950418168000006,18,-12,-16.16459335259681
377720,7,282.28464536399997,-9,-2,-16.84381486738371,352.855806705,-12,3,-16.835562535917674,282.28464536399997,-8,-9,-16.8387396561511,105.8567420115,-4,8,-16.643640958505582,164.666043129,-10,8,-16.57746216288914,235.23720447,-8,-10,-16.74609052009931,305.808365811,-8,9,-16.797879344641057,341.0939464815,33,-16,-16.408760436328052,282.28464536399997,-13,5,-16.44954024342374,329.332086258,1,1,-16.342288199204006
18357,7,162.80475538000002,13,4,-18.277647409657188,358.170461836,-12,-28,-18.09362639497295,162.80475538000002,12,-2,-18.088713444387977,211.64618199400002,4,-19,-18.118264666188303,146.52427984200003,3,0,-18.326924418618358,211.64618199400002,7,-2,-18.337340520856454,130.243804304,13,-1,-18.61817959714368,146.52427984200003,12,-1,-18.21342457573124,113.963328766,10,-2,-18.486203400109616,130.243804304,12,-1,-18.5528260208201
251209,7,238.70688862900002,0,-5,-14.949994382048835,217.00626239000002,1,-13,-14.949224560028163,444.86283789950005,67,-2,-15.644636941982355,195.30563615100002,0,-11,-15.033413634315792,184.4553230315,9,5,-15.05515382659474,108.50313119500001,-39,92,-15.103122217497223,358.06033294350004,40,-31,-15.439210756078943,195.30563615100002,-1,10,-15.05722128613587,184.4553230315,6,-1,-15.053346576619127,206.1559492705,1,2,-15.072549716578244
328035,7,188.600544356,-5,1,-15.031021396540403,321.730340372,-5,1,-15.629769298283662,621.272381408,-5,-2,-15.48234514310704,754.402177424,-3,2,-15.561153815043816,576.895782736,-2,-2,-15.051164639818289,266.259592032,-2,-3,-15.58385407425839,743.308027756,-4,1,-15.598668526717212,643.460680744,-5,-4,-15.684374485184435,66.564898008,-4,0,-15.366800588716892,66.564898008,-5,-1,-15.178111406825188
19042,7,195.90269658,-2,5,-15.002758364721345,182.842516808,-1,5,-15.003553468392965,195.90269658,0,-3,-14.811803629666336,169.78233703599997,0,-1,-14.415779856272522,169.78233703599997,-6,1,-14.86964357366481,195.90269658,0,-2,-14.528700866533029,182.842516808,-1,0,-14.657116624044235,182.842516808,1,0,-14.434031427120708,313.44431452799995,-2,-5,-15.527415396934984,195.90269658,-2,-6,-14.957419798869566
259883,7,261.56432926800005,0,6,-17.281713941587764,305.158384146,1,4,-17.261970733703148,544.9256859750001,-7,21,-17.58314685763824,806.490015243,-9,-30,-17.655958411343672,21.797027439,-57,-2,-18.613113916398195,392.346493902,4,5,-17.504577551160686,588.519740853,-9,-27,-17.416040451913272,762.8959603650001,-11,26,-17.64154663284868,261.56432926800005,0,-6,-17.55816998976309,261.56432926800005,0,-8,-17.627828384959248
305960,7,13.535770122,4,0,-15.791840606548064,13.535770122,2,2,-15.809340997643744,20.303655183,2,-3,-14.421458618290202,20.303655183,4,3,-15.676433388661529,13.535770122,-2,-4,-15.657077143476016,13.535770122,2,-5,-14.714383302921462,13.535770122,5,3,-15.017567864394238,13.535770122,5,-4,-15.64465970193045,27.071540244,3,2,-14.219114864809768,13.535770122,5,0,-15.075668507448356
39527,7,17.5259727985,-11,-5,-18.6528355895982,332.9934831715,-11,-5,-17.82514853364772,17.5259727985,-12,-3,-18.745999239614815,175.259727985,-5,-4,-17.660291095599362,227.8376463805,-2,0,-17.55409651109985,17.5259727985,-10,1,-18.784562914022565,17.5259727985,-12,1,-18.720018597692835,192.78570078349998,-9,3,-18.07977864702711,105.155836791,-7,4,-18.27155341482349,17.5259727985,-11,4,-18.659983131576524
213667,7,1103.3792677239999,-18,51,-17.085668434958766,1122.403048202,63,-35,-17.286814131898744,171.214024302,6,-5,-16.61862118011099,228.28536573600002,7,2,-16.765792997861766,171.214024302,1,-5,-16.6522613126415,228.28536573600002,1,-4,-16.582364187558184,190.23780478,6,4,-16.609926242012342,247.309146214,8,-2,-16.776495981559524,95.11890239,2,3,-16.562023268324815,228.28536573600002,6,2,-16.748384023046164
61772,7,86.682613472,21,20,-16.710811313823193,247.66460992,-8,55,-16.992423368355176,321.963992896,25,-53,-16.674915338665457,235.28137942400002,24,78,-16.794423155470714,346.730453888,-2,10,-17.0093815943206,272.43107091200005,15,-80,-16.84405455122418,359.113684384,-5,-11,-17.00697711025468,693.460907776,31,-74,-17.062240737160717,222.898148928,-1,-9,-16.598686652741364,99.065843968,21,-21,-16.7567743133295
288056,7,41.811657137999994,-2,0,-16.551316127578474,62.717485706999994,-3,1,-16.352438884862792,83.62331427599999,-1,2,-16.265339291573667,83.62331427599999,-3,-7,-16.503523822814806,52.2645714225,4,7,-16.768375529815536,104.529142845,-3,-2,-16.29780483203701,10.452914284499998,0,-9,-16.6925297219278,20.905828568999997,-2,6,-16.35654079296242,10.452914284499998,5,-3,-16.857486146844177,10.452914284499998,0,-1,-16.683680841636797
319312,7,43.84984728,0,6,-16.49333694579142,76.73723274000001,1,5,-15.975549508793357,32.887385460000004,1,2,-16.294676035605924,186.36185094,1,-2,-15.432583544125123,241.17416004,-6,6,-15.265854812968016,252.13662186000002,7,-2,-15.164462176896876,153.47446548000002,1,-6,-15.570900647213989,186.36185094,0,-1,-15.38561835772461,153.47446548000002,2,-7,-15.680593493945139,76.73723274000001,0,-6,-16.095679432799777
340510,7,68.080140045,-8,5,-16.824294365216836,136.16028009,-7,5,-16.660365229937018,163.392336108,-6,1,-16.165970555261296,204.240420135,2,-3,-15.517494425543056,95.312196063,-5,2,-16.28893386263568,190.624392126,-1,-9,-15.389612288365115,122.544252081,3,-2,-16.143567421439727,163.392336108,-6,-3,-15.462673130331133,163.392336108,-7,-6,-16.597987712014152,122.544252081,-8,-6,-16.573013390915847
328037,7,98.5015678425,1,14,-14.549443280225546,105.06833903199998,1,14,-14.893196576163412,124.76865260049999,2,-5,-14.248676607895149,111.63511022149999,-2,-2,-14.805302868536813,111.63511022149999,-4,3,-14.970121582684186,85.36802546349999,12,-4,-15.231744900476137,111.63511022149999,-2,1,-14.421553448933771,91.93479665299999,-9,-14,-14.598969428585484,105.06833903199998,-3,-14,-15.208759373953392,85.36802546349999,-1,-17,-14.8314511227153
338221,7,28.451334219,-9,1,-18.013860692019627,170.70800531400002,-7,-2,-17.343760666008485,28.451334219,-9,4,-18.142385939390316,113.805336876,-10,-3,-17.699286277419304,270.28767508050004,7,17,-16.645398186189468,42.677001328500005,-4,4,-18.129258184094397,298.7390092995,0,-18,-17.150608258392772,241.83634086150002,-5,12,-16.7003068289661,440.9956803945,-32,25,-17.21415235272331,241.83634086150002,0,-3,-17.086474996191367
327289,7,477.47164499149994,-2,-1,-18.137614332635394,376.9512986775,-3,0,-18.139309686253576,477.47164499149994,-6,2,-18.245638494403398,452.341558413,-5,1,-17.908107946455285,276.43095236349996,1,-1,-17.97231318099073,452.341558413,0,-1,-18.192427842332982,301.56103894200004,3,-2,-18.186841789231202,50.260173157,-24,-9,-18.933490144547545,552.8619047269999,-33,9,-17.988365906133282,376.9512986775,-32,7,-18.184095733717452
12010,7,462.5772126029999,15,-11,-17.00596423953371,946.1806621425,26,-46,-17.34463828462339,735.9182927774999,17,-32,-17.583226396246502,967.2068990789999,28,-44,-17.57003797377116,777.9707666504999,-6,-33,-17.737553902084503,777.9707666504999,-10,39,-17.48344113777925,378.47226485699997,11,-20,-17.581280260611855,735.9182927774999,25,-20,-17.748845817799616,820.0232405234999,42,22,-17.580081639098427,525.6559234125,22,33,-17.633815806596903
73079,7,245.72410155300005,-3,-8,-17.800877020351116,228.17238001350003,16,-19,-18.030385709708106,263.27582309250005,10,11,-18.028227694336483,280.827544632,9,-23,-18.23914689310272,280.827544632,21,11,-18.289178848075608,228.17238001350003,-4,21,-17.74949165720338,210.62065847400004,-7,-4,-18.12492569802473,263.27582309250005,9,22,-18.24966572002009,210.62065847400004,22,4,-17.99622446069671,175.517215395,-6,3,-18.349748259601352
62326,7,167.6954049615,7,99,-14.752748971784499,141.8961118905,51,75,-15.419929213717182,128.996465355,13,99,-15.173356198253074,657.8819733105,4,0,-15.421747020015431,128.996465355,41,51,-15.77554964371081,193.4946980325,1,-1,-14.910040057046466,270.8925772455,4,1,-15.413267379371689,219.29399110350002,-38,-29,-15.620196062590622,167.6954049615,1,1,-14.678201662887517,219.29399110350002,1,0,-14.808088099904836
129725,7,78.539457172,4,2,-18.540210987264114,117.809185758,3,1,-18.33570798770692,78.539457172,3,0,-18.208090059825302,235.618371516,2,1,-17.807229860618644,117.809185758,-1,3,-17.971876984663947,98.17432146499999,3,-2,-17.950334438242933,98.17432146499999,3,-1,-18.355383381409354,333.792692981,3,2,-17.39775210293036,235.618371516,1,0,-17.51555205800183,235.618371516,3,-2,-17.701886054152453
81764,7,17.567665782,3,-9,-17.228123807438255,35.135331564,0,-9,-16.220023039490748,8.783832891,3,-6,-17.28908192232522,8.783832891,7,-3,-17.286150208172216,8.783832891,7,-6,-17.28568862537957,8.783832891,-6,0,-17.159810511006206,8.783832891,1,4,-17.288368881938055,8.783832891,6,4,-17.29149344182823,17.567665782,3,8,-17.288945704882074,17.567665782,3,8,-17.215464213656357
98484,7,8.749353583,-11,-30,-15.353771626550817,8.749353583,-16,-27,-14.686003113450575,8.749353583,-14,-15,-14.351623562174012,8.749353583,5,-15,-15.312489110504998,8.749353583,23,-14,-15.147022503992432,8.749353583,-30,7,-14.516627797219797,8.749353583,-18,7,-14.421183636123367,8.749353583,-2,19,-14.559788828789316,17.498707166,-3,28,-14.158070071708849,8.749353583,-11,29,-15.024061001491418
319206,7,385.29701530599993,-3,-3,-18.819440715210035,412.81823068499995,-12,-10,-18.12033402395624,357.775799927,-7,-5,-18.858472278922633,385.29701530599993,-2,-7,-18.587616855971845,440.33944606399996,0,2,-18.752237875424992,1568.7092766029998,-73,-6,-19.056635725208054,440.33944606399996,-15,5,-18.993585459724663,385.29701530599993,1,1,-18.905953225418976,605.4667383379999,-7,11,-18.585232613390858,440.33944606399996,2,-2,-18.900765834851953
323820,7,306.00856058399995,24,32,-16.35221004159736,675.7689046229999,-5,1,-16.28091605117862,867.0242549879999,23,66,-16.280401628357858,382.51070073,-16,-39,-16.175640626337177,803.2724715329999,-3,-2,-16.24658698795575,561.015694404,49,49,-16.258463747138798,969.027108516,30,-75,-16.132572068405466,280.507847202,-3,23,-16.110819152934567,918.0256817519999,48,-65,-16.286903848625975,344.259630657,25,-32,-16.234189789248298
320351,7,10.2095902548,-18,-14,-17.516751092341547,173.5630343316,-74,16,-16.280084301904047,10.2095902548,-17,-61,-17.277977542174,10.2095902548,7,52,-17.552078363853994,10.2095902548,-27,-62,-17.521351457125043,10.2095902548,-33,-60,-17.533778161875965,13.6127870064,-15,65,-17.37160428650666,146.3374603188,-11,-50,-15.73047264725649,10.2095902548,-49,30,-17.551703791867347,108.9022960512,-22,14,-15.938583882357939
171441,7,176.677554846,3,10,-17.32270139460563,147.231295705,8,4,-17.117444140926565,176.677554846,3,7,-17.3073998642814,117.785036564,-4,1,-17.11185972811647,132.50816613450002,-1,-3,-16.922563270568443,132.50816613450002,10,-1,-17.217061586562913,161.9544252755,6,-5,-17.43524832020098,176.677554846,-2,-6,-16.41593858722478,235.570073128,-8,5,-17.221454255248837,220.8469435575,10,-5,-17.265933939292296
45489,7,351.65529698,80,24,-17.551043782148632,914.303772148,32,73,-17.426552123296247,826.3899479029999,11,-42,-16.74707776923739,492.317415772,4,4,-16.79253999812659,281.324237584,-61,-78,-17.12451612530366,474.73465092299995,-7,-5,-16.736820279115197,580.231240017,2,7,-16.88836367839844,351.65529698,9,2,-16.651993980984606,316.489767282,-2,5,-17.309975817251107,879.13824245,79,-25,-17.373320017057807
73586,7,109.65212713799998,-3,2,-17.198266349309634,109.65212713799998,-3,2,-16.97165213579401,127.92748166099999,-3,-1,-17.21678018218904,109.65212713799998,-4,1,-17.04263647644232,91.376772615,-3,-1,-17.27619576647819,54.82606356899999,-1,-2,-16.99592861197428,164.47819070699998,-3,0,-16.709571809006405,127.92748166099999,-3,-2,-16.658473462282018,182.75354523,-3,-1,-16.535251331123206,146.20283618399998,-3,-2,-16.82165843469596
