halo_id,redshift,cont_1500_size_dir_0,shift_x_dir_0,shift_y_dir_0,MAB_1500_dir_0,cont_1500_size_dir_1,shift_x_dir_1,shift_y_dir_1,MAB_1500_dir_1,cont_1500_size_dir_2,shift_x_dir_2,shift_y_dir_2,MAB_1500_dir_2,cont_1500_size_dir_3,shift_x_dir_3,shift_y_dir_3,MAB_1500_dir_3,cont_1500_size_dir_4,shift_x_dir_4,shift_y_dir_4,MAB_1500_dir_4,cont_1500_size_dir_5,shift_x_dir_5,shift_y_dir_5,MAB_1500_dir_5,cont_1500_size_dir_6,shift_x_dir_6,shift_y_dir_6,MAB_1500_dir_6,cont_1500_size_dir_7,shift_x_dir_7,shift_y_dir_7,MAB_1500_dir_7,cont_1500_size_dir_8,shift_x_dir_8,shift_y_dir_8,MAB_1500_dir_8,cont_1500_size_dir_9,shift_x_dir_9,shift_y_dir_9,MAB_1500_dir_9
241352,6,235.84929960000002,8,3,-17.87593923061265,117.92464980000001,6,6,-17.899973147712494,165.09450972,6,-2,-18.029216180532103,259.43422956,-2,8,-17.324545755275423,94.33971984,-6,-3,-17.860447109190396,188.67943968,5,-9,-17.486593384923733,70.75478987999999,9,3,-18.22507740110811,94.33971984,7,-9,-18.138845594628403,330.18901944,-4,-5,-17.332968577058104,212.26436964,10,-6,-17.739308143276162
415296,6,112.98461351257143,-1,1,-15.136911488686941,51.35664250571429,11,7,-15.592821794406845,61.627971006857145,9,3,-15.420695404327617,41.08531400457143,3,4,-15.501026961037788,51.35664250571429,-5,3,-15.313603468824247,71.89929950800001,11,-4,-15.63471555891524,30.813985503428572,11,-2,-15.973893716292672,41.08531400457143,6,-6,-15.490018894027763,112.98461351257143,5,-9,-14.94159477409059,133.52727051485715,-1,-1,-15.31728496889653
65214,6,140.61749912800002,-2,5,-17.154355723365832,200.88214161142858,-1,4,-17.18895730359625,361.5878549005715,-1,3,-17.66600380997498,80.35285664457143,-4,2,-17.26452021601864,140.61749912800002,-5,3,-17.263678024651334,984.3224938960001,2,-2,-17.762984066087412,662.9110673177144,-1,-2,-17.99498395699937,100.44107080571429,-3,-4,-17.196724342283986,140.61749912800002,-2,-5,-17.192556625665176,100.44107080571429,-2,-6,-17.2611441204284
82994,6,1287.3259585794285,-19,-70,-17.437110220355805,332.21315060114284,-12,-1,-16.669937333233776,249.15986295085716,-8,-8,-17.500922348954543,166.10657530057142,-2,1,-17.382148064597093,186.86989721314285,1,-2,-16.9282151705424,207.63321912571428,-9,-6,-16.90183879052507,1391.1425681422857,-42,-66,-17.516179496333464,249.15986295085716,-9,-2,-16.9264071739479,539.8463697268571,49,41,-17.49885779860833,436.029760164,5,0,-17.490665276775474
217876,6,509.94524599542865,-20,23,-17.155548417837974,140.6745506194286,0,0,-16.734123684869626,404.4393330308572,-18,15,-17.241800782546047,422.02365185828575,-29,6,-16.944078511412712,123.09023179200003,2,-2,-16.679254491305677,70.3372753097143,8,-2,-16.878108969851176,175.84318827428575,0,0,-16.75554866259834,228.59614475657148,-1,-3,-17.27778289659932,175.84318827428575,0,-1,-17.35651305868334,105.50591296457144,-1,-1,-17.112490265252987
290212,6,510.74456424,0,-1,-15.636129896289738,408.59565139200004,-21,-14,-15.376133943698946,578.843839472,0,-5,-15.620847217443782,340.49637616,7,18,-15.369195607359146,357.521194968,8,-19,-15.743583011177876,357.521194968,-27,-6,-16.018916053309432,459.670107816,-18,16,-15.899958478248934,323.471557352,8,-6,-15.398563313894954,374.546013776,-16,21,-15.656384240077308,493.719745432,-15,19,-15.589974242097043
409636,6,219.12107244,-4,10,-16.322606377856687,359.9846190085715,9,12,-16.212127477445506,156.51505174285714,3,10,-16.721056981906358,156.51505174285714,-7,2,-16.596813881663522,172.16655691714288,-11,10,-16.34073513184508,187.81806209142857,13,-1,-16.761257292272624,203.46956726571432,-2,-5,-16.464731369970778,156.51505174285714,-3,-7,-16.657016057392337,187.81806209142857,-2,-12,-16.672233169246724,187.81806209142857,3,-16,-16.72401119589031
23922,6,95.33259950914287,43,11,-16.157637480229127,42.37004422628572,43,8,-16.424291781785,158.88766584857143,44,8,-15.855180400503784,21.18502211314286,28,1,-16.459475473957824,52.962555282857146,1,10,-16.36499123320028,42.37004422628572,34,2,-16.462898683694533,52.962555282857146,45,-8,-15.352894790826575,84.74008845257144,36,-4,-16.095669902838807,52.962555282857146,36,-14,-16.361477316758396,137.70264373542858,44,-13,-16.076899383914927
143841,6,73.66308543428572,4,21,-16.803878414221508,29.46523417371429,9,17,-16.809781373482494,58.93046834742858,5,10,-16.66902333901062,103.128319608,-8,13,-16.07364768124171,58.93046834742858,-16,10,-16.798215508954527,44.19785126057143,19,-5,-16.806552607778457,58.93046834742858,9,-6,-16.54140479466038,117.86093669485716,-2,-13,-16.550969704545828,88.39570252114287,-1,-22,-16.84250592039274,73.66308543428572,4,-22,-16.762816742086653
323301,6,582.8203048045715,-25,31,-16.703911605234847,400.68895955314287,4,6,-16.396738645433018,546.3940357542857,-25,53,-16.746210105623383,437.1152286034286,-48,-27,-16.633384899868076,601.0334393297143,-9,53,-16.744281917776448,473.54149765371426,20,36,-16.831939651792496,382.475825028,-21,-52,-16.671497131543337,455.3283631285714,-43,15,-16.65458292214545,655.6728429051428,-1,-43,-16.76907457986664,528.1809012291429,-25,-32,-16.739956253357377
